"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jan 03 12:35:47 IST 2025","Fri Jan 03 12:35:51 IST 2025","3863","Default Suite","ATB7xseleniumPractice","com.thetestingacadmey.ex_selenium_30_12_24.Lab_310","com.thetestingacadmey.ex_selenium_30_12_24.Lab_310","testclickLoginNegative","testclickLoginNegative",""
"passed","Thu Mar 06 12:34:31 IST 2025","Thu Mar 06 12:34:45 IST 2025","13334","Default Suite","ATB7xseleniumPractice","com.thetestingacadmey.ex_selenium_30_12_24.Lab_312","com.thetestingacadmey.ex_selenium_30_12_24.Lab_312","testVwoLoginNegative","testVwoLoginNegative",""
"passed","Mon Dec 30 07:24:36 IST 2024","Mon Dec 30 07:24:42 IST 2024","5876","All Test Suite","C:/Users/AARRSOL/IdeaProjects/ATB7xseleniumPractice","com.thetestingacadmey.ex_selenium.Lab298","com.thetestingacadmey.ex_selenium.Lab298","clickmango7222login","clickmango7222login",""
"passed","Wed Mar 05 17:52:50 IST 2025","Wed Mar 05 17:52:57 IST 2025","7262","Default Suite","ATB7xseleniumPractice","com.thetestingacadmey.ex_selenium_30_12_24.Lab311B","com.thetestingacadmey.ex_selenium_30_12_24.Lab311B","testVwoLoginNegative","testVwoLoginNegative",""
"passed","Thu Feb 27 18:46:22 IST 2025","Thu Feb 27 18:47:13 IST 2025","50956","Default Suite","ATB7xseleniumPractice","com.thetestingacadmey.ex_selenium_29_12_2024.Lab298","com.thetestingacadmey.ex_selenium_29_12_2024.Lab298","vwoLogin","vwoLogin",""
"passed","Sun Jan 12 22:50:39 IST 2025","Sun Jan 12 22:51:02 IST 2025","23036","Default Suite","ATB7xseleniumPractice","com.thetestingacadmey.ex_selenium_30_12_24.Lab_311","com.thetestingacadmey.ex_selenium_30_12_24.Lab_311","testclickLoginNegative","testclickLoginNegative",""
"passed","Mon Dec 30 07:24:42 IST 2024","Mon Dec 30 07:24:47 IST 2024","4817","All Test Suite","C:/Users/AARRSOL/IdeaProjects/ATB7xseleniumPractice","com.thetestingacadmey.ex_selenium.Lab305","com.thetestingacadmey.ex_selenium.Lab305","testClickMangoLoginTitle","testClickMangoLoginTitle",""
